species,m,adduct
[2M+Cl],2,34.9689
[2M+H-2H2O],2,-35.0133
[2M+H-3H2O],2,-53.0239
[2M+H-H2O],2,-17.0027
[2M+H],2,1.0078
[2M+HCOO],2,44.9977
[2M+K],2,38.9637
[2M+Na],2,22.9898
[M-],1,0.0000
[M-2H],1,-2.0157
[M-2H+Na],1,20.9741
[M-Br+O],1,-62.9234
[M-Cl+O],1,-18.9739
[M-H-H2O],1,-19.0184
[M-H],1,-1.0078
[M-H+H2O],1,17.0027
[M-H-CO2],1,-44.9977
[M+],1,0.0000
[M+10H],1,10.0783
[M+10H+8Na+K],1,232.9601
[M+11H],1,11.0861
[M+11H+8Na+K],1,233.9679
[M+12H],1,12.0939
[M+13H],1,13.1017
[M+14H],1,14.1096
[M+15H],1,15.1174
[M+16H],1,16.1252
[M+17H],1,17.1330
[M+18H],1,18.1409
[M+19H],1,19.1487
[M+20H],1,20.1565
[M+21H],1,21.1643
[M+22H],1,22.1722
[M+23H],1,23.1800
[M+24H],1,24.1878
[M+25H],1,25.1956
[M+26H],1,26.2035
[M+27H],1,27.2113
[M+28H],1,28.2191
[M+29H],1,29.2269
[M+2H-2H2O],1,-34.0055
[M+2H-H2O],1,-15.9949
[M+2H],1,2.0157
[M+2H+K],1,40.9794
[M+2Na-H],1,44.9717
[M+2Na],1,45.9795
[M+30H],1,30.2348
[M+3H],1,3.0235
[M+4H],1,4.0313
[M+5H],1,5.0391
[M+6H],1,6.0470
[M+7H],1,7.0548
[M+7H+8Na+K],1,229.9366
[M+8H],1,8.0626
[M+8H+8Na+K],1,230.9445
[M+9H],1,9.0704
[M+9H+8Na+K],1,231.9523
[M+CF3COO],1,112.9850
[M+CH3COO],1,59.0133
[M+Cl],1,34.9689
[M+Cu],1,63.0000
[M+H-2H2O],1,-35.0133
[M+H-H2O-NH3],1,-34.0293
[M+H-H2O],1,-17.0027
[M+H],1,1.0078
[M+H+H2O],1,19.0184
[M+H+K],1,39.9715
[M+H+Na],1,23.9976
[M+HCOO],1,44.9977
[M+K],1,38.9637
[M+Na-2H2O],1,-13.0314
[M+Na-H2O],1,4.9792
[M+Na],1,22.9898
[M+Na+K],1,61.9535
[M+NH4],1,18.0344
[M+OH],1,17.0027
,,